GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-service,com.freelencerhub.project.controller,ProjectController,27,104,4,2,5,24,6,8,3,8
project-service,com.freelencerhub.project.service,ProjectService,14,219,3,11,3,46,2,17,0,12
