GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
payment-service,com.freelencerhub.payment.service,PaymentService,0,122,0,12,0,23,0,14,0,8
payment-service,com.freelencerhub.payment.controller,PaymentController,19,54,0,0,4,12,3,5,3,5
